No.,항목,5대 역량,10대 영역,항목 수정,휴넷 항목 수정,DS Keyword,휴넷 Keyword
31,전문지식/기술,자기관리,학습민첩성,직무관련 전문지식과 기술,,"업무 전문성
직무 기술","전문성, 직무, 기술, 
최신성, 자기계발"
32,긍정성/긍정마인드,자기관리,윤리/글로벌마인드,긍정 마인드 및 자세,,"긍정성
긍정 마인드","오픈마인드, 적극성, 
건설적, 긍정적"
33,창의성,자기관리,학습민첩성,창의성,,"창의성
유연성","창의성, 신규 노하우, 
아이디어, 현실성, 
유용성, 변화주도, 
창조적"
34,학습 민첩성,자기관리,학습민첩성,학습 민첩성,,"신기술/트렌드 파악
자기개발/학습
새로운 업무이해","정보수집, 정보활용, 
정보관리, 개방성, 성장, 역량개발"
35,책임감(프로의식/오너십),자기관리,윤리/글로벌마인드,"책임감(프로의식, 오너십)",,"업무완수 책임감/꼼꼼함
부서원 부담 덜어주기
사장 마인드/주인의식
의사결정에 책임짐","책임의식, 전문성, 
업무몰입, 경영의식, 
주인의식, 충성, 자부심"
